"orderNumber","orderDate","requiredDate","shippedDate","status","comments","customerNumber","OrderPriority","Year","Month","ShipMode"
"10159","2003-10-10","2003-10-19","2003-10-16","Shipped",NULL,"321",NULL,NULL,NULL,NULL
"10160","2003-10-11","2003-10-17","2003-10-17","Shipped",NULL,"347",NULL,NULL,NULL,NULL
"10161","2003-10-17","2003-10-25","2003-10-20","Shipped",NULL,"227",NULL,NULL,NULL,NULL
"10162","2003-10-18","2003-10-26","2003-10-19","Shipped",NULL,"321",NULL,NULL,NULL,NULL
"10163","2003-10-20","2003-10-27","2003-10-24","Shipped",NULL,"424",NULL,NULL,NULL,NULL
"10164","2003-10-21","2003-10-30","2003-10-23","Resolved","This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.","452",NULL,NULL,NULL,NULL
"10165","2003-10-22","2003-10-31","2003-12-26","Shipped","This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received","148",NULL,NULL,NULL,NULL
"10166","2003-10-21","2003-10-30","2003-10-27","Shipped",NULL,"462",NULL,NULL,NULL,NULL
"10167","2003-10-23","2003-10-30",NULL,"Cancelled","Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.","448",NULL,NULL,NULL,NULL
"10168","2003-10-28","2003-11-03","2003-11-01","Shipped",NULL,"161",NULL,NULL,NULL,NULL
"10169","2003-11-04","2003-11-14","2003-11-09","Shipped",NULL,"276",NULL,NULL,NULL,NULL
"10170","2003-11-04","2003-11-12","2003-11-07","Shipped",NULL,"452",NULL,NULL,NULL,NULL
"10171","2003-11-05","2003-11-13","2003-11-07","Shipped",NULL,"233",NULL,NULL,NULL,NULL
"10172","2003-11-05","2003-11-14","2003-11-11","Shipped",NULL,"175",NULL,NULL,NULL,NULL
"10173","2003-11-05","2003-11-15","2003-11-09","Shipped","Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches","278",NULL,NULL,NULL,NULL
"10174","2003-11-06","2003-11-15","2003-11-10","Shipped",NULL,"333",NULL,NULL,NULL,NULL
"10175","2003-11-06","2003-11-14","2003-11-09","Shipped",NULL,"324",NULL,NULL,NULL,NULL
"10176","2003-11-06","2003-11-15","2003-11-12","Shipped",NULL,"386",NULL,NULL,NULL,NULL
"10177","2003-11-07","2003-11-17","2003-11-12","Shipped",NULL,"344",NULL,NULL,NULL,NULL
"10178","2003-11-08","2003-11-16","2003-11-10","Shipped","Custom shipping instructions sent to warehouse","242",NULL,NULL,NULL,NULL
"10179","2003-11-11","2003-11-17","2003-11-13","Cancelled","Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.","496",NULL,NULL,NULL,NULL
"10180","2003-11-11","2003-11-19","2003-11-14","Shipped",NULL,"171",NULL,NULL,NULL,NULL
"10181","2003-11-12","2003-11-19","2003-11-15","Shipped",NULL,"167",NULL,NULL,NULL,NULL
"10182","2003-11-12","2003-11-21","2003-11-18","Shipped",NULL,"124",NULL,NULL,NULL,NULL
"10183","2003-11-13","2003-11-22","2003-11-15","Shipped","We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.","339",NULL,NULL,NULL,NULL
"10184","2003-11-14","2003-11-22","2003-11-20","Shipped",NULL,"484",NULL,NULL,NULL,NULL
"10185","2003-11-14","2003-11-21","2003-11-20","Shipped",NULL,"320",NULL,NULL,NULL,NULL
"10186","2003-11-14","2003-11-20","2003-11-18","Shipped","They want to reevaluate their terms agreement with the VP of Sales","489",NULL,NULL,NULL,NULL
"10187","2003-11-15","2003-11-24","2003-11-16","Shipped",NULL,"211",NULL,NULL,NULL,NULL
"10188","2003-11-18","2003-11-26","2003-11-24","Shipped",NULL,"167",NULL,NULL,NULL,NULL
"10189","2003-11-18","2003-11-25","2003-11-24","Shipped","They want to reevaluate their terms agreement with Finance.","205",NULL,NULL,NULL,NULL
"10190","2003-11-19","2003-11-29","2003-11-20","Shipped",NULL,"141",NULL,NULL,NULL,NULL
"10191","2003-11-20","2003-11-30","2003-11-24","Shipped","We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.","259",NULL,NULL,NULL,NULL
"10192","2003-11-20","2003-11-29","2003-11-25","Shipped",NULL,"363",NULL,NULL,NULL,NULL
"10193","2003-11-21","2003-11-28","2003-11-27","Shipped",NULL,"471",NULL,NULL,NULL,NULL
"10194","2003-11-25","2003-12-02","2003-11-26","Shipped",NULL,"146",NULL,NULL,NULL,NULL
"10195","2003-11-25","2003-12-01","2003-11-28","Shipped",NULL,"319",NULL,NULL,NULL,NULL
"10196","2003-11-26","2003-12-03","2003-12-01","Shipped",NULL,"455",NULL,NULL,NULL,NULL
"10197","2003-11-26","2003-12-02","2003-12-01","Shipped","Customer inquired about remote controlled models and gold models.","216",NULL,NULL,NULL,NULL
"10198","2003-11-27","2003-12-06","2003-12-03","Shipped",NULL,"385",NULL,NULL,NULL,NULL
"10199","2003-12-01","2003-12-10","2003-12-06","Shipped",NULL,"475",NULL,NULL,NULL,NULL
"10200","2003-12-01","2003-12-09","2003-12-06","Shipped",NULL,"211",NULL,NULL,NULL,NULL
"10201","2003-12-01","2003-12-11","2003-12-02","Shipped",NULL,"129",NULL,NULL,NULL,NULL
"10202","2003-12-02","2003-12-09","2003-12-06","Shipped",NULL,"357",NULL,NULL,NULL,NULL
"10203","2003-12-02","2003-12-11","2003-12-07","Shipped",NULL,"141",NULL,NULL,NULL,NULL
"10204","2003-12-02","2003-12-10","2003-12-04","Shipped",NULL,"151",NULL,NULL,NULL,NULL
"10205","2003-12-03","2003-12-09","2003-12-07","Shipped"," I need all the information I can get on our competitors.","141",NULL,NULL,NULL,NULL
"10206","2003-12-05","2003-12-13","2003-12-08","Shipped","Can we renegotiate this one?","202",NULL,NULL,NULL,NULL
"10207","2003-12-09","2003-12-17","2003-12-11","Shipped","Check on availability.","495",NULL,NULL,NULL,NULL
"10208","2004-01-02","2004-01-11","2004-01-04","Shipped",NULL,"146",NULL,NULL,NULL,NULL
"10209","2004-01-09","2004-01-15","2004-01-12","Shipped",NULL,"347",NULL,NULL,NULL,NULL
"10210","2004-01-12","2004-01-22","2004-01-20","Shipped",NULL,"177",NULL,NULL,NULL,NULL
"10211","2004-01-15","2004-01-25","2004-01-18","Shipped",NULL,"406",NULL,NULL,NULL,NULL
"10212","2004-01-16","2004-01-24","2004-01-18","Shipped",NULL,"141",NULL,NULL,NULL,NULL
"10213","2004-01-22","2004-01-28","2004-01-27","Shipped","Difficult to negotiate with customer. We need more marketing materials","489",NULL,NULL,NULL,NULL
"10214","2004-01-26","2004-02-04","2004-01-29","Shipped",NULL,"458",NULL,NULL,NULL,NULL
"10215","2004-01-29","2004-02-08","2004-02-01","Shipped","Customer requested that FedEx Ground is used for this shipping","475",NULL,NULL,NULL,NULL
"10216","2004-02-02","2004-02-10","2004-02-04","Shipped",NULL,"256",NULL,NULL,NULL,NULL
"10217","2004-02-04","2004-02-14","2004-02-06","Shipped",NULL,"166",NULL,NULL,NULL,NULL
"10218","2004-02-09","2004-02-16","2004-02-11","Shipped","Customer requested that ad materials (such as posters, pamphlets) be included in the shippment","473",NULL,NULL,NULL,NULL
"10219","2004-02-10","2004-02-17","2004-02-12","Shipped",NULL,"487",NULL,NULL,NULL,NULL
"10220","2004-02-12","2004-02-19","2004-02-16","Shipped",NULL,"189",NULL,NULL,NULL,NULL
"10221","2004-02-18","2004-02-26","2004-02-19","Shipped",NULL,"314",NULL,NULL,NULL,NULL
"10222","2004-02-19","2004-02-27","2004-02-20","Shipped",NULL,"239",NULL,NULL,NULL,NULL
"10223","2004-02-20","2004-02-29","2004-02-24","Shipped",NULL,"114",NULL,NULL,NULL,NULL
"10224","2004-02-21","2004-03-02","2004-02-26","Shipped","Customer has worked with some of our vendors in the past and is aware of their MSRP","171",NULL,NULL,NULL,NULL
"10225","2004-02-22","2004-03-01","2004-02-24","Shipped",NULL,"298",NULL,NULL,NULL,NULL
"10226","2004-02-26","2004-03-06","2004-03-02","Shipped",NULL,"239",NULL,NULL,NULL,NULL
"10227","2004-03-02","2004-03-12","2004-03-08","Shipped",NULL,"146",NULL,NULL,NULL,NULL
"10228","2004-03-10","2004-03-18","2004-03-13","Shipped",NULL,"173",NULL,NULL,NULL,NULL
"10229","2004-03-11","2004-03-20","2004-03-12","Shipped",NULL,"124",NULL,NULL,NULL,NULL
"10230","2004-03-15","2004-03-24","2004-03-20","Shipped","Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch","128",NULL,NULL,NULL,NULL
"10231","2004-03-19","2004-03-26","2004-03-25","Shipped",NULL,"344",NULL,NULL,NULL,NULL
"10232","2004-03-20","2004-03-30","2004-03-25","Shipped",NULL,"240",NULL,NULL,NULL,NULL
"10233","2004-03-29","2004-04-04","2004-04-02","Shipped","Customer requested special shippment. The instructions were passed along to the warehouse","328",NULL,NULL,NULL,NULL
"10234","2004-03-30","2004-04-05","2004-04-02","Shipped",NULL,"412",NULL,NULL,NULL,NULL
"10235","2004-04-02","2004-04-12","2004-04-06","Shipped",NULL,"260",NULL,NULL,NULL,NULL
"10236","2004-04-03","2004-04-11","2004-04-08","Shipped",NULL,"486",NULL,NULL,NULL,NULL
"10237","2004-04-05","2004-04-12","2004-04-10","Shipped",NULL,"181",NULL,NULL,NULL,NULL
"10238","2004-04-09","2004-04-16","2004-04-10","Shipped",NULL,"145",NULL,NULL,NULL,NULL
"10239","2004-04-12","2004-04-21","2004-04-17","Shipped",NULL,"311",NULL,NULL,NULL,NULL
"10240","2004-04-13","2004-04-20","2004-04-20","Shipped",NULL,"177",NULL,NULL,NULL,NULL
"10241","2004-04-13","2004-04-20","2004-04-19","Shipped",NULL,"209",NULL,NULL,NULL,NULL
"10242","2004-04-20","2004-04-28","2004-04-25","Shipped","Customer is interested in buying more Ferrari models","456",NULL,NULL,NULL,NULL
"10243","2004-04-26","2004-05-03","2004-04-28","Shipped",NULL,"495",NULL,NULL,NULL,NULL
"10244","2004-04-29","2004-05-09","2004-05-04","Shipped",NULL,"141",NULL,NULL,NULL,NULL
"10245","2004-05-04","2004-05-12","2004-05-09","Shipped",NULL,"455",NULL,NULL,NULL,NULL
"10246","2004-05-05","2004-05-13","2004-05-06","Shipped",NULL,"141",NULL,NULL,NULL,NULL
"10247","2004-05-05","2004-05-11","2004-05-08","Shipped",NULL,"334",NULL,NULL,NULL,NULL
"10248","2004-05-07","2004-05-14",NULL,"Cancelled","Order was mistakenly placed. The warehouse noticed the lack of documentation.","131",NULL,NULL,NULL,NULL
"10249","2004-05-08","2004-05-17","2004-05-11","Shipped","Can we deliver the new Ford Mustang models by end-of-quarter?","173",NULL,NULL,NULL,NULL
"10250","2004-05-11","2004-05-19","2004-05-15","Shipped",NULL,"450",NULL,NULL,NULL,NULL
"10251","2004-05-18","2004-05-24","2004-05-24","Shipped",NULL,"328",NULL,NULL,NULL,NULL
"10252","2004-05-26","2004-06-04","2004-05-29","Shipped",NULL,"406",NULL,NULL,NULL,NULL
"10253","2004-06-01","2004-06-09","2004-06-02","Cancelled","Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.","201",NULL,NULL,NULL,NULL
"10254","2004-06-03","2004-06-13","2004-06-04","Shipped","Customer requested that DHL is used for this shipping","323",NULL,NULL,NULL,NULL
"10255","2004-06-04","2004-06-12","2004-06-09","Shipped",NULL,"209",NULL,NULL,NULL,NULL
"10256","2004-06-08","2004-06-16","2004-06-10","Shipped",NULL,"145",NULL,NULL,NULL,NULL
"10257","2004-06-14","2004-06-24","2004-06-15","Shipped",NULL,"450",NULL,NULL,NULL,NULL
"10258","2004-06-15","2004-06-25","2004-06-23","Shipped",NULL,"398",NULL,NULL,NULL,NULL
"10259","2004-06-15","2004-06-22","2004-06-17","Shipped",NULL,"166",NULL,NULL,NULL,NULL
"10260","2004-06-16","2004-06-22",NULL,"Cancelled","Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.","357",NULL,NULL,NULL,NULL
"10261","2004-06-17","2004-06-25","2004-06-22","Shipped",NULL,"233",NULL,NULL,NULL,NULL
"10262","2004-06-24","2004-07-01",NULL,"Cancelled","This customer found a better offer from one of our competitors. Will call back to renegotiate.","141",NULL,NULL,NULL,NULL
"10263","2004-06-28","2004-07-04","2004-07-02","Shipped",NULL,"175",NULL,NULL,NULL,NULL
"10264","2004-06-30","2004-07-06","2004-07-01","Shipped","Customer will send a truck to our local warehouse on 7/1/2004","362",NULL,NULL,NULL,NULL
"10265","2004-07-02","2004-07-09","2004-07-07","Shipped",NULL,"471",NULL,NULL,NULL,NULL
"10266","2004-07-06","2004-07-14","2004-07-10","Shipped",NULL,"386",NULL,NULL,NULL,NULL
"10267","2004-07-07","2004-07-17","2004-07-09","Shipped",NULL,"151",NULL,NULL,NULL,NULL
"10268","2004-07-12","2004-07-18","2004-07-14","Shipped",NULL,"412",NULL,NULL,NULL,NULL
"10269","2004-07-16","2004-07-22","2004-07-18","Shipped",NULL,"382",NULL,NULL,NULL,NULL
"10270","2004-07-19","2004-07-27","2004-07-24","Shipped","Can we renegotiate this one?","282",NULL,NULL,NULL,NULL
"10271","2004-07-20","2004-07-29","2004-07-23","Shipped",NULL,"124",NULL,NULL,NULL,NULL
"10272","2004-07-20","2004-07-26","2004-07-22","Shipped",NULL,"157",NULL,NULL,NULL,NULL
"10273","2004-07-21","2004-07-28","2004-07-22","Shipped",NULL,"314",NULL,NULL,NULL,NULL
"10274","2004-07-21","2004-07-29","2004-07-22","Shipped",NULL,"379",NULL,NULL,NULL,NULL
"10275","2004-07-23","2004-08-02","2004-07-29","Shipped",NULL,"119",NULL,NULL,NULL,NULL
"10276","2004-08-02","2004-08-11","2004-08-08","Shipped",NULL,"204",NULL,NULL,NULL,NULL
"10277","2004-08-04","2004-08-12","2004-08-05","Shipped",NULL,"148",NULL,NULL,NULL,NULL
"10278","2004-08-06","2004-08-16","2004-08-09","Shipped",NULL,"112",NULL,NULL,NULL,NULL
"10279","2004-08-09","2004-08-19","2004-08-15","Shipped","Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches","141",NULL,NULL,NULL,NULL
"10280","2004-08-17","2004-08-27","2004-08-19","Shipped",NULL,"249",NULL,NULL,NULL,NULL
"10281","2004-08-19","2004-08-28","2004-08-23","Shipped",NULL,"157",NULL,NULL,NULL,NULL
"10282","2004-08-20","2004-08-26","2004-08-22","Shipped",NULL,"124",NULL,NULL,NULL,NULL
"10283","2004-08-20","2004-08-30","2004-08-23","Shipped",NULL,"260",NULL,NULL,NULL,NULL
"10284","2004-08-21","2004-08-29","2004-08-26","Shipped","Custom shipping instructions sent to warehouse","299",NULL,NULL,NULL,NULL
"10285","2004-08-27","2004-09-04","2004-08-31","Shipped",NULL,"286",NULL,NULL,NULL,NULL
"10286","2004-08-28","2004-09-06","2004-09-01","Shipped",NULL,"172",NULL,NULL,NULL,NULL
"10287","2004-08-30","2004-09-06","2004-09-01","Shipped",NULL,"298",NULL,NULL,NULL,NULL
"10288","2004-09-01","2004-09-11","2004-09-05","Shipped",NULL,"166",NULL,NULL,NULL,NULL
"10289","2004-09-03","2004-09-13","2004-09-04","Shipped","We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.","167",NULL,NULL,NULL,NULL
"10290","2004-09-07","2004-09-15","2004-09-13","Shipped",NULL,"198",NULL,NULL,NULL,NULL
"10291","2004-09-08","2004-09-17","2004-09-14","Shipped",NULL,"448",NULL,NULL,NULL,NULL
"10292","2004-09-08","2004-09-18","2004-09-11","Shipped","They want to reevaluate their terms agreement with Finance.","131",NULL,NULL,NULL,NULL
"10293","2004-09-09","2004-09-18","2004-09-14","Shipped",NULL,"249",NULL,NULL,NULL,NULL
"10294","2004-09-10","2004-09-17","2004-09-14","Shipped",NULL,"204",NULL,NULL,NULL,NULL
"10295","2004-09-10","2004-09-17","2004-09-14","Shipped","They want to reevaluate their terms agreement with Finance.","362",NULL,NULL,NULL,NULL
"10296","2004-09-15","2004-09-22","2004-09-16","Shipped",NULL,"415",NULL,NULL,NULL,NULL
"10297","2004-09-16","2004-09-22","2004-09-21","Shipped","We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.","189",NULL,NULL,NULL,NULL
"10298","2004-09-27","2004-10-05","2004-10-01","Shipped",NULL,"103",NULL,NULL,NULL,NULL
"10299","2004-09-30","2004-10-10","2004-10-01","Shipped",NULL,"186",NULL,NULL,NULL,NULL
"10300","2003-10-04","2003-10-13","2003-10-09","Shipped",NULL,"128",NULL,NULL,NULL,NULL
"10301","2003-10-05","2003-10-15","2003-10-08","Shipped",NULL,"299",NULL,NULL,NULL,NULL
"10302","2003-10-06","2003-10-16","2003-10-07","Shipped",NULL,"201",NULL,NULL,NULL,NULL
"10303","2004-10-06","2004-10-14","2004-10-09","Shipped","Customer inquired about remote controlled models and gold models.","484",NULL,NULL,NULL,NULL
"10304","2004-10-11","2004-10-20","2004-10-17","Shipped",NULL,"256",NULL,NULL,NULL,NULL
"10305","2004-10-13","2004-10-22","2004-10-15","Shipped","Check on availability.","286",NULL,NULL,NULL,NULL
"10306","2004-10-14","2004-10-21","2004-10-17","Shipped",NULL,"187",NULL,NULL,NULL,NULL
"10307","2004-10-14","2004-10-23","2004-10-20","Shipped",NULL,"339",NULL,NULL,NULL,NULL
"10308","2004-10-15","2004-10-24","2004-10-20","Shipped","Customer requested that FedEx Ground is used for this shipping","319",NULL,NULL,NULL,NULL
"10309","2004-10-15","2004-10-24","2004-10-18","Shipped",NULL,"121",NULL,NULL,NULL,NULL
"10310","2004-10-16","2004-10-24","2004-10-18","Shipped",NULL,"259",NULL,NULL,NULL,NULL
"10311","2004-10-16","2004-10-23","2004-10-20","Shipped","Difficult to negotiate with customer. We need more marketing materials","141",NULL,NULL,NULL,NULL
"10312","2004-10-21","2004-10-27","2004-10-23","Shipped",NULL,"124",NULL,NULL,NULL,NULL
"10313","2004-10-22","2004-10-28","2004-10-25","Shipped","Customer requested that FedEx Ground is used for this shipping","202",NULL,NULL,NULL,NULL
"10314","2004-10-22","2004-11-01","2004-10-23","Shipped",NULL,"227",NULL,NULL,NULL,NULL
"10315","2004-10-29","2004-11-08","2004-10-30","Shipped",NULL,"119",NULL,NULL,NULL,NULL
"10316","2004-11-01","2004-11-09","2004-11-07","Shipped","Customer requested that ad materials (such as posters, pamphlets) be included in the shippment","240",NULL,NULL,NULL,NULL
"10317","2004-11-02","2004-11-12","2004-11-08","Shipped",NULL,"161",NULL,NULL,NULL,NULL
"10318","2004-11-02","2004-11-09","2004-11-07","Shipped",NULL,"157",NULL,NULL,NULL,NULL
"10319","2004-11-03","2004-11-11","2004-11-06","Shipped","Customer requested that DHL is used for this shipping","456",NULL,NULL,NULL,NULL
"10320","2004-11-03","2004-11-13","2004-11-07","Shipped",NULL,"144",NULL,NULL,NULL,NULL
"10321","2004-11-04","2004-11-12","2004-11-07","Shipped",NULL,"462",NULL,NULL,NULL,NULL
"10322","2004-11-04","2004-11-12","2004-11-10","Shipped","Customer has worked with some of our vendors in the past and is aware of their MSRP","363",NULL,NULL,NULL,NULL
"10323","2004-11-05","2004-11-12","2004-11-09","Shipped",NULL,"128",NULL,NULL,NULL,NULL
"10324","2004-11-05","2004-11-11","2004-11-08","Shipped",NULL,"181",NULL,NULL,NULL,NULL
"10325","2004-11-05","2004-11-13","2004-11-08","Shipped",NULL,"121",NULL,NULL,NULL,NULL
"10326","2004-11-09","2004-11-16","2004-11-10","Shipped",NULL,"144",NULL,NULL,NULL,NULL
"10327","2004-11-10","2004-11-19","2004-11-13","Resolved","Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.","145",NULL,NULL,NULL,NULL
"10328","2004-11-12","2004-11-21","2004-11-18","Shipped","Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch","278",NULL,NULL,NULL,NULL
"10329","2004-11-15","2004-11-24","2004-11-16","Shipped",NULL,"131",NULL,NULL,NULL,NULL
"10330","2004-11-16","2004-11-25","2004-11-21","Shipped",NULL,"385",NULL,NULL,NULL,NULL
"10331","2004-11-17","2004-11-23","2004-11-23","Shipped","Customer requested special shippment. The instructions were passed along to the warehouse","486",NULL,NULL,NULL,NULL
"10332","2004-11-17","2004-11-25","2004-11-18","Shipped",NULL,"187",NULL,NULL,NULL,NULL
"10333","2004-11-18","2004-11-27","2004-11-20","Shipped",NULL,"129",NULL,NULL,NULL,NULL
"10334","2004-11-19","2004-11-28",NULL,"On Hold","The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.","144",NULL,NULL,NULL,NULL
"10335","2004-11-19","2004-11-29","2004-11-23","Shipped",NULL,"124",NULL,NULL,NULL,NULL
